PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;0.7;0;4;0%;0;14;0%
01Max;0.7;4;4;100%;12;14;86%
01Max;0.8;0;4;0%;0;14;0%
01Max;0.8;0;4;0%;0;14;0%
01Max;0.8;4;4;100%;11;14;79%
01Max;0.9;0;4;0%;0;14;0%
01Max;0.9;0;4;0%;0;14;0%
01Max;0.9;4;4;100%;10;14;71%
01Max;1.0;4;4;100%;11;14;79%
01Max;1.0;4;4;100%;11;14;79%
01Max;1.0;0;4;0%;0;14;0%
01Max;0.6;0;4;0%;0;14;0%
01Max;0.6;0;4;0%;0;14;0%
01Max;0.6;4;4;100%;11;14;79%
01Max;0.5;0;4;0%;0;14;0%
01Max;0.5;0;4;0%;0;14;0%
01Max;0.4;4;4;100%;11;14;79%
01Max;0.4;4;4;100%;12;14;86%
01Max;0.3;4;4;100%;11;14;79%
01Max;0.1;4;4;100%;11;14;79%
01Max;0.0;0;4;0%;0;14;0%
