PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
08MaxMin;0.7;13;13;100%;34;42;81%
08MaxMin;0.7;13;13;100%;25;42;60%
08MaxMin;0.8;13;13;100%;34;42;81%
08MaxMin;0.8;13;13;100%;26;42;62%
08MaxMin;0.8;13;13;100%;26;42;62%
08MaxMin;0.9;13;13;100%;25;42;60%
08MaxMin;0.9;13;13;100%;26;42;62%
08MaxMin;1.0;13;13;100%;26;42;62%
08MaxMin;1.0;13;13;100%;26;42;62%
08MaxMin;1.0;12;13;92%;35;42;83%
08MaxMin;0.6;13;13;100%;25;42;60%
08MaxMin;0.6;13;13;100%;27;42;64%
08MaxMin;0.6;13;13;100%;28;42;67%
08MaxMin;0.5;13;13;100%;25;42;60%
08MaxMin;0.5;13;13;100%;27;42;64%
08MaxMin;0.4;13;13;100%;26;42;62%
08MaxMin;0.4;13;13;100%;25;42;60%
08MaxMin;0.3;13;13;100%;26;42;62%
08MaxMin;0.3;13;13;100%;25;42;60%
08MaxMin;0.3;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.2;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.1;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
08MaxMin;0.0;13;13;100%;25;42;60%
08MaxMin;0.0;0;13;0%;0;42;0%
