PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
11ListArray;0.7;11;12;92%;18;31;58%
11ListArray;0.7;12;12;100%;23;31;74%
11ListArray;0.7;11;12;92%;14;31;45%
11ListArray;0.8;11;12;92%;19;31;61%
11ListArray;0.8;11;12;92%;18;31;58%
11ListArray;0.9;11;12;92%;8;31;26%
11ListArray;0.9;12;12;100%;20;31;65%
11ListArray;1.0;12;12;100%;24;31;77%
11ListArray;1.0;11;12;92%;25;31;81%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;12;12;100%;29;31;94%
11ListArray;0.5;11;12;92%;14;31;45%
11ListArray;0.5;12;12;100%;19;31;61%
11ListArray;0.4;11;12;92%;18;31;58%
11ListArray;0.4;11;12;92%;14;31;45%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;14;31;45%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.2;11;12;92%;19;31;61%
11ListArray;0.2;11;12;92%;14;31;45%
11ListArray;0.2;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;14;31;45%
11ListArray;0.0;11;12;92%;19;31;61%
11ListArray;0.0;11;12;92%;19;31;61%
11ListArray;0.0;11;12;92%;19;31;61%
11ListArray;0.0;0;12;0%;0;31;0%
