PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
14Pilha;0.7;16;17;94%;24;31;77%
14Pilha;0.7;17;17;100%;24;31;77%
14Pilha;0.8;17;17;100%;24;31;77%
14Pilha;0.8;16;17;94%;25;31;81%
14Pilha;0.8;17;17;100%;27;31;87%
14Pilha;0.9;16;17;94%;26;31;84%
14Pilha;0.9;16;17;94%;24;31;77%
14Pilha;1.0;17;17;100%;24;31;77%
14Pilha;1.0;16;17;94%;26;31;84%
14Pilha;1.0;17;17;100%;29;31;94%
14Pilha;0.6;17;17;100%;24;31;77%
14Pilha;0.6;16;17;94%;24;31;77%
14Pilha;0.6;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.4;16;17;94%;24;31;77%
14Pilha;0.4;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
14Pilha;0.0;0;17;0%;0;31;0%
