PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
16Fila;0.7;22;23;96%;24;37;65%
16Fila;0.7;23;23;100%;24;37;65%
16Fila;0.8;23;23;100%;22;37;59%
16Fila;0.8;23;23;100%;25;37;68%
16Fila;0.9;16;23;70%;20;37;54%
16Fila;0.9;22;23;96%;24;37;65%
16Fila;0.9;23;23;100%;24;37;65%
16Fila;1.0;23;23;100%;25;37;68%
16Fila;0.6;23;23;100%;24;37;65%
16Fila;0.6;22;23;96%;21;37;57%
16Fila;0.6;22;23;96%;24;37;65%
16Fila;0.5;23;23;100%;24;37;65%
16Fila;0.5;22;23;96%;24;37;65%
16Fila;0.4;22;23;96%;24;37;65%
16Fila;0.4;22;23;96%;24;37;65%
16Fila;0.4;23;23;100%;24;37;65%
16Fila;0.3;22;23;96%;21;37;57%
16Fila;0.3;22;23;96%;21;37;57%
16Fila;0.3;22;23;96%;22;37;59%
16Fila;0.2;22;23;96%;21;37;57%
16Fila;0.2;22;23;96%;24;37;65%
16Fila;0.2;22;23;96%;22;37;59%
16Fila;0.1;22;23;96%;22;37;59%
16Fila;0.1;22;23;96%;21;37;57%
16Fila;0.1;22;23;96%;22;37;59%
16Fila;0.0;22;23;96%;21;37;57%
16Fila;0.0;22;23;96%;21;37;57%
16Fila;0.0;22;23;96%;21;37;57%
16Fila;0.0;0;23;0%;0;37;0%
