PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
20Tabela;0.7;21;21;100%;35;57;61%
20Tabela;0.7;9;21;43%;5;57;9%
20Tabela;0.7;20;21;95%;40;57;70%
20Tabela;1.0;21;21;100%;46;57;81%
20Tabela;1.0;21;21;100%;36;57;63%
20Tabela;0.6;20;21;95%;36;57;63%
20Tabela;0.6;19;21;90%;32;57;56%
20Tabela;0.5;23;25;92%;40;57;70%
20Tabela;0.5;20;21;95%;37;57;65%
20Tabela;0.4;20;21;95%;27;57;47%
20Tabela;0.4;19;21;90%;38;57;67%
20Tabela;0.4;19;21;90%;38;57;67%
20Tabela;0.3;19;21;90%;38;57;67%
20Tabela;0.3;19;21;90%;31;57;54%
20Tabela;0.2;19;21;90%;38;57;67%
20Tabela;0.2;19;21;90%;39;57;68%
20Tabela;0.2;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;0;21;0%;0;57;0%
