PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
21ArvoreBinaria;0.7;21;48;44%;36;160;23%
21ArvoreBinaria;0.7;33;48;69%;68;160;43%
21ArvoreBinaria;0.8;24;48;50%;66;160;41%
21ArvoreBinaria;0.8;3;48;6%;0;160;0%
21ArvoreBinaria;0.8;21;48;44%;36;160;23%
21ArvoreBinaria;0.9;23;48;48%;40;160;25%
21ArvoreBinaria;0.9;24;48;50%;59;160;37%
21ArvoreBinaria;0.9;34;48;71%;77;160;48%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;1.0;28;48;58%;73;160;46%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;0.6;33;48;69%;47;160;29%
21ArvoreBinaria;0.6;24;48;50%;72;160;45%
21ArvoreBinaria;0.6;33;48;69%;68;160;43%
21ArvoreBinaria;0.5;33;48;69%;59;160;37%
21ArvoreBinaria;0.5;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;72;160;45%
21ArvoreBinaria;0.4;38;48;79%;79;160;49%
21ArvoreBinaria;0.3;33;48;69%;66;160;41%
21ArvoreBinaria;0.3;21;48;44%;36;160;23%
21ArvoreBinaria;0.3;33;48;69%;72;160;45%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;23;48;48%;59;160;37%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;34;48;71%;56;160;35%
21ArvoreBinaria;0.1;33;48;69%;72;160;45%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;72;160;45%
21ArvoreBinaria;0.0;33;48;69%;72;160;45%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;0;48;0%;0;160;0%
