PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
28BuscaEmLargura;0.7;33;33;100%;82;108;76%
28BuscaEmLargura;0.8;26;33;79%;67;108;62%
28BuscaEmLargura;0.9;0;33;0%;0;108;0%
28BuscaEmLargura;1.0;33;33;100%;82;108;76%
28BuscaEmLargura;1.0;25;33;76%;59;108;55%
28BuscaEmLargura;1.0;26;33;79%;68;108;63%
28BuscaEmLargura;0.5;33;33;100%;82;108;76%
28BuscaEmLargura;0.4;33;33;100%;82;108;76%
28BuscaEmLargura;0.3;33;33;100%;81;108;75%
28BuscaEmLargura;0.2;13;33;39%;28;108;26%
28BuscaEmLargura;0.2;33;33;100%;84;108;78%
28BuscaEmLargura;0.2;33;33;100%;82;108;76%
28BuscaEmLargura;0.1;33;33;100%;83;108;77%
28BuscaEmLargura;0.1;33;33;100%;82;108;76%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
28BuscaEmLargura;0.0;0;33;0%;0;108;0%
