PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
29Grafo;0.7;33;33;100%;83;108;77%
29Grafo;0.7;18;33;55%;49;108;45%
29Grafo;0.8;33;33;100%;85;108;79%
29Grafo;0.9;25;33;76%;68;108;63%
29Grafo;1.0;26;33;79%;67;108;62%
29Grafo;0.6;25;33;76%;61;108;56%
29Grafo;0.6;33;33;100%;82;108;76%
29Grafo;0.5;33;33;100%;81;108;75%
29Grafo;0.5;33;33;100%;71;108;66%
29Grafo;0.4;25;33;76%;65;108;60%
29Grafo;0.4;33;33;100%;82;108;76%
29Grafo;0.3;33;33;100%;77;108;71%
29Grafo;0.3;33;33;100%;82;108;76%
29Grafo;0.3;33;33;100%;83;108;77%
29Grafo;0.2;33;33;100%;82;108;76%
29Grafo;0.2;33;33;100%;83;108;77%
29Grafo;0.1;33;33;100%;84;108;78%
29Grafo;0.1;33;33;100%;82;108;76%
29Grafo;0.0;33;33;100%;83;108;77%
29Grafo;0.0;33;33;100%;82;108;76%
29Grafo;0.0;0;33;0%;0;108;0%
