PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
31CasamentoExato;0.7;40;40;100%;63;205;31%
31CasamentoExato;0.7;40;40;100%;68;205;33%
31CasamentoExato;0.7;40;40;100%;64;205;31%
31CasamentoExato;0.8;40;40;100%;67;205;33%
31CasamentoExato;0.8;40;40;100%;68;205;33%
31CasamentoExato;0.8;40;40;100%;62;205;30%
31CasamentoExato;0.9;40;40;100%;63;205;31%
31CasamentoExato;0.9;39;40;98%;66;205;32%
31CasamentoExato;0.9;39;40;98%;64;205;31%
31CasamentoExato;1.0;40;40;100%;68;205;33%
31CasamentoExato;1.0;40;40;100%;71;205;35%
31CasamentoExato;1.0;39;40;98%;63;205;31%
31CasamentoExato;0.6;40;40;100%;63;205;31%
31CasamentoExato;0.6;40;40;100%;64;205;31%
31CasamentoExato;0.6;40;40;100%;63;205;31%
31CasamentoExato;0.5;40;40;100%;68;205;33%
31CasamentoExato;0.5;40;40;100%;63;205;31%
31CasamentoExato;0.5;40;40;100%;68;205;33%
31CasamentoExato;0.4;40;40;100%;68;205;33%
31CasamentoExato;0.4;40;40;100%;63;205;31%
31CasamentoExato;0.4;40;40;100%;63;205;31%
31CasamentoExato;0.3;40;40;100%;63;205;31%
31CasamentoExato;0.3;40;40;100%;68;205;33%
31CasamentoExato;0.3;40;40;100%;64;205;31%
31CasamentoExato;0.2;40;40;100%;67;205;33%
31CasamentoExato;0.2;40;40;100%;63;205;31%
31CasamentoExato;0.2;40;40;100%;67;205;33%
31CasamentoExato;0.1;40;40;100%;63;205;31%
31CasamentoExato;0.1;40;40;100%;62;205;30%
31CasamentoExato;0.1;40;40;100%;68;205;33%
31CasamentoExato;0.0;40;40;100%;63;205;31%
31CasamentoExato;0.0;40;40;100%;63;205;31%
31CasamentoExato;0.0;40;40;100%;63;205;31%
31CasamentoExato;0.0;0;40;0%;0;205;0%
