PRJ;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;4;4;100%;12;14;86%
02MaxMin;8;8;100%;18;21;86%
03MaxMin;8;8;100%;18;21;86%
04MaxMin;16;16;100%;40;62;65%
05Ordenacao;10;10;100%;16;20;80%
06Fibonacci;6;6;100%;12;12;100%
07Fibonacci;6;6;100%;12;12;100%
08MaxMin;13;13;100%;35;42;83%
09Ordenacao;16;16;100%;54;56;96%
10AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;12;12;100%;29;31;94%
12Lista;12;12;100%;20;23;87%
13Pilha;12;12;100%;30;31;97%
14Pilha;17;17;100%;29;31;94%
15Fila;19;19;100%;40;43;93%
16Fila;23;23;100%;25;37;68%
17Ordenacao;48;48;100%;80;139;58%
18FPHeapMax;0;40;0%;0;117;0%
19FPHeapMin;0;42;0%;0;120;0%
20Tabela;25;25;100%;54;57;95%
21ArvoreBinaria;39;48;81%;100;160;63%
22TabelaHash;35;35;100%;51;89;57%
23TabelaHash;51;52;98%;105;166;63%
24Grafo;42;42;100%;105;143;73%
25Grafo;34;34;100%;86;109;79%
26Grafo;50;51;98%;98;127;77%
27Grafo;33;33;100%;85;108;79%
28BuscaEmLargura;33;33;100%;85;108;79%
29Grafo;33;33;100%;85;108;79%
30Lista;32;32;100%;54;76;71%
31CasamentoExato;40;40;100%;81;205;40%
32CasamentoAproximado;19;19;100%;33;86;38%
33Identifier;22;22;100%;73;114;64%
